,Company Decscription,Actual Labels,Predicted Labels
773,"FairChoice Systems provides institutions of higher education with web and mobile technologies that connect students and staff to time-sensitive campus information. Our premiere products automate student health services.  Unlike other solutions, FairChoice can migrate student services to the web and mobile devices in a matter of weeks.  The result is a flexible, cost-effective, student-centered approach to college and university administration.",1.0,1.0
968,"CSI Career College  has changed their name!  Our new name is Blake Austin College.  


Current Programs: 
Cosmetology
Massage Therapy
Esthetician
Holistic Health Practioner
Vocational Nursing
Dental Assisting 
Pharmacy Technician
Clinical Medical Assisting w/Phlebotomy
Administrative Medical Assistant
Medical Assisting - Front & Back Office 
Medical/Dental Administrative Assistant
Administrative Microsoft Office Specialist
Computerized Office with Bookkeeping 

With over 13 years experience, CSI Career College has established a reputation for quality.  Our hands-on training produces professionals who are ready for the challenges that are present in every field of employment.  CSI Career College maintains our commitment to offer education that is in demand.  

Our programs utilize the latest technology and are designed to set out students for success.",2.0,2.0
59,"Edgewater Consulting, formerly Edgewater Technology, combines change management consulting and technical services to help clients implement transformational projects that provide a high rate of return. 

Our consultants provide deep expertise in classic management disciplines, such as Operational Excellence, Process and Organizational Assessment and Strategy, and Transition and Implementation Services. In addition, Edgewater Consulting offers focused industry expertise for healthcare providers and payers, mid-market manufacturers, and the insurance and hospitality industries.​​​",1.0,1.0
664,"Tech-Labs provides the highest quality educational equipment and curriculum, servicing Texas and Oklahoma. Our mission is provide cutting edge technology, equipment and curriculum to educators that will help every learner acquire the skills necessary to be successful in the jobs of tomorrow.

We offer a wide range of educational and training products from industry leading manufacturers including: Amatrol, Stratasys, LJ Create, Lincoln Electric, Universal Laser Systems, Fanuc, SciTex, EduSmart, Marcraft and Automation Studios.",1.0,1.0
273,"Catapult is a full-service consulting firm that uses technology to solve complex business challenges, delivering exceptional value to our clients based on their priorities and timeframes. Recognized as the 2016 Microsoft Partner of the Year (U.S.), Catapult specializes in digital transformation and cloud-based technologies. We work on behalf of our clients to imagine, build, and sustain IT-enabled business solutions that people love to use. Catapult has offices in Austin, Dallas, Denver, Houston, Phoenix, San Antonio, Tampa and Washington, D.C.",1.0,1.0
697,"Welcome to Authentica Solutions!  We are a passionate team of educators, engineers and dreamers seeking to solve the most complex data challenges in the education space.  Our team is full of innovative practitioners from the classroom, leadership, application and enterprise level within the education space.  With a core mission of removing the implementation challenges, specifically the data integration, migration and long term support needed to focus educators on the purpose of the purchased technology. Let's reduce the cost, improve the quality, and free education institutions to use their data for the intended purpose of student achievement and success.

We understand and serve each of our customers to ensure student data is protected whether stored locally, offsite, or in the cloud.  Whether a school district, university, department of education, or a K12 company, our responsibility to protect, validate, and used permissioned data is at the heart to all our services and solutions.  As data stewards, together we ensure the information is used as defined, clarified, provided, and communicated and all for the purpose of learning.

To share your needs and to learn more, give us a call at 770.864.6060.

DataSense - IPaaS for Education - Integration Platform as a Service.

DataSense provides a single, federated approach to managing all your data integration, transformation, and migration processes between all your most critical applications.  We didn't stop at the first few data files required by most applications, we enable the full management of all SIS to APP, APP to APP, and APP to EDW, Analytics, etc. needed to streamline quality data flow and remove manual data entry.

Centrifuge - Centralized Education Data Management

Centrifuge utilizes the latest in technology standards from CEDS through a commercialized Ed-Fi operational datastore enabling all applications data to flow into a centralize data structure either behind the firewall or in the cloud.",1.0,1.0
853,"Ready to Streamline and Enhance YOUR Training? Atrixware helps organizations improve their training, often reducing costs in the process. Visit us online at http://www.atrixware.com, or call us toll-free at 1.866.696.8709.",2.0,1.0
286,"Serenity Infotech is a global provider of software solutions and consulting services to Fortune 500 and SMB organizations, assisting these clients in the entire process of planning, selecting, implementing, upgrades and supporting the system to address enterprise-wide information management goals, around ERP applications. 

For over 12 years Serenity has helped define our client needs, find the best enterprise solution and then provide effective implementation services, from a very unique hybrid onsite/offsite implementation and post production environment.",1.0,1.0
23,"Hello,
As a valued customer of SDA I wanted to personally share exciting news. Flash Global has recently completed the acquisition of System Design Advantage (SDA). As a leader in their industry, SDA is an authorized OEM provider of service part sales and repair, as well as product fulfillment services, and Level 1-4 repairs for hi-tech products. Effective immediately, we are integrating SDA’s suite of services to drive more value and strengthen our partnership",0.0,1.0
184,"Artech Government Services LLC (ArtechGov), formerly EDGE Professional Services, LLC, is a wholly owned subsidiary of Artech Information Systems LLC.

The combined experience of these two companies comprises nearly half-a-century of government industry knowledge that has culminated into a highly refined service delivery and support methodology. The company has extensive expertise providing workforce and project (SOW) solutions for the U.S. government including such agencies as DHS-TSA, DHS-ICE, SSA, IRS, NASA, DoD, VA, DHHS, FDIC, DIA, and others.  ArtechGov’s headquarters is in Rockville, MD, where the company’s National Capital Region branch office is located. This is Artech’s 2nd largest location in the U.S. ArtechGov is a minority- and women-owned business enterprise (MWBE).

ArtechGov provides services under the following NAICS codes:
541511 - Custom Computer Programming Services
541512 - Computer Systems Design Services
541513 - Computer Facilities Management Services
541519 - Other Computer Related Services
541611 - Administrative Management and General Management Consulting Services
541612 - Human Resources Consulting Services
541613 - Marketing Consulting Services
541618 - Other Management Consulting Services
541620 - Environmental Consulting Services
541690 - Other Scientific and Technical Consulting Services
561311 - Employment Placement Agencies
561312 - Executive Search Services
561320 - Temporary Help Services",1.0,1.0
940,e-learning,2.0,2.0
479,"Zantech is one of the fastest-growing IT solutions and business strategy Government Contracting firms that provides state-of-the art solutions for Program Management , Engineering Services, and Information Technology Services. Our commitment to excellence in service delivery has enabled us to achieve exponential growth since its inception in 2007. In 2012, we were ranked #1 in the Government Services sector and in Washington DC metro area and #21 in the nation by Inc. Magazine. Our rapidly expanding client base includes Department of Defense, State, and Homeland Security. Zantech is headquartered in Tysons Corner, VA, with offices in Maryland and work in Afghanistan, Iraq and Germany.

Awards: 

Fantastic 50 Award from Virginia Chamber of Commerce, 2012-2017
Inc. 500|5000 - Fastest Growing Company, 5 years in a row, 2012-2017
50 Fastest Growing Companies by Washington Business Journal, 2013-2015
Top 25 8(a) - Washington Technology
FAST 50 by Washington Technology, 2013-2015
Future 50 Award from SmartCEO, 2013-2015
GOVstar Star Performer Award, 2013
Inc. Hire Power Award - Top 10 job creator within Government Services, 2013
100 Best Run Companies from SmartCEO, 2013-2014 
Fast 50 Asian American Businesses from US Pan Asian American Chamber, 2013-2015
Top 25 Minority Business Leader Award from Washington Business Journal, 2012 
Finalist for Government Contracting Firm of the Year by Tech Council of Maryland(TCM), 2012 
Finalist for Hottest Emerging Contractor by Northern Virginia Technology Council (NVTC), 2012 
Top Businesses Award from Diversity Business.com, 2010-2015 
Best Business of the Year Award from Virginia Asian Chamber of Commerce, 2012

Certifications:

Zantech is ISO 9001:2015 (QMS), ISO 20000-1:2011 (SMS), ISO27001:2013 (ISMS), ITIL v3 (2011) certified company. CMMI- DEV Maturity Level 3 assessed from Carnegie Mellon’s Software Engineering Institute.

To learn more about Zantech please visit us at www.zantechit .com",1.0,1.0
495,"Continental Technology Solutions is one of the fastest growing Information Technology Services, IT staffing and management consulting company headquartered in Houston, Texas with extensive transcontinental operations. We provide innovative and dynamic business solutions. 

Continental Technology Solutions has garnered an impressive track record of delivering successful results, with a noteworthy client list that includes mid-sized to Fortune 500 companies, having offices and strong market presence in United States, United Kingdom, Canada, Australia, Singapore, Malaysia, Hong kong and India. 

With more than decades of experience at delivering technology and IT Staffing solutions and we are a talent-driven, talent acquisition company providing technology experts, individual consultants, project teams, project development and strategic outsourcing services to clients in a wide range of industries in United States, United Kingdom, Canada, Singapore , Malaysia and India. We leverage our recruiting expertise to deliver high-end consulting services for a variety of engagements. 

We have formed several vertical industry practice groups to focus developing solutions targeted to your business.The experts in our practice groups are delivering real world domain experience to our customers, helping them optimize their technology and business processes

•	Banking & Financial Services
•	Healthcare & Life Sciences
•	Insurance
•	Logistics
•	Manufacturing
•	Retail
•	Telecom
•	Energy & Utilities

We specialize in the following areas and are currently providing services and technology solutions

•	Cloud and Big Data Solutions
•	Web /Enterprise Application Development  
•	Mobile Development
•	Analytics , Business Intelligence / Data warehousing
•	Database Development and Administration (Database Architecture, Data Modeling)
•	Project Management
•	Requirements & Analysis
•	Quality Assurance",1.0,1.0
825,"Tortal Training is a Training and Development firm specializing in E-Learning and Interactive Online Training Solutions. 
For More Info Call: 704-323-8953. Based in Charlotte, NC and founded in 2000, Tortal Training is a leading provider of online training systems. Tortal Training's clients include corporate, government, non-profit, education, and multi-site franchise organizations. Tortal Training has successfully created online e-learning systems for companies ranging from five to over 50,000 employees and has served clients with revenues of up to $6 billion a year. Tortal Training's Instructional Designers specialize in converting classroom instructor-led training to an online format as well as creating new online content.  Since Tortal Training's inception, the company has been supporting its clients' success and creating finished products that meet the ever-ending training, development and learning needs of today's demanding businesses.   Whether it’s operational, compliance, regulatory, HR-related, or other, Tortal Training's team provides a total business solution. If you already have an online training system, Tortal Training is a great source of expertise in enhancing your existing systems.",1.0,1.0
334,"Leaders in Quality Assurance, Localization Services, Compliance, and Certification, Testronic offers end-to-end Testing and QA solutions for a notable array of industries; including entertainment, media, games, publishing, e-commerce and consumer electronics.

We work with the major studios, games publishers, broadcasters, and digital agencies and help companies from all sectors develop and maintain world class websites and e-commerce solutions. In addition, software developers, publishers, and consumer electronics manufacturers look to Testronic for a steadfast source of Quality Assurance, Certification, and Testing.

Testronic’s high standards have been protecting our clients and safeguarding the consumer experience since 1998. We ensure that our clients efficiently and securely deliver the highest quality consumer deliverables. If your business depends on delivering a first rate end-user experience, talk to Testronic.

________________________________________________________________________________________",1.0,1.0
342,"AMER has a 20-year history of providing thousands of consultants to support staffing solutions and end-to-end software development projects.  We are a leading Information Technology Consulting firm that helps Government and commercial clients plan, build, manage and justify their investments in order to optimize mission and business performance.  As a certified minority owned small disadvantaged business, we specialize in providing, Information Technology, Medical, and Accounting and Finance Staffing Solutions among other Government and commercial services.  Our combined team strength and past experiences span the commercial and public sectors, allowing us to bring both federal and commercial best practices for both Government and commercial clients.",1.0,1.0
109,"Founded in 1997, we are a two-decade young business and application solutions firm. We partner with customers to improve their business performance using Oracle's e-Business Suite. All along at Triniti, we have put our customers first. This has helped us nurture long-term relationships, replete with trust & transparency. Our stakeholders - customers, employees, and owners - have been partners since its inception and this continues to be the hallmark of our business.  We now look forward to extend it to other industries and geographies.
 
Happy employees provide the best customer service.  This reflects in our commitment to make employee happiness a key component of our mission.
 
High quality data is a key differentiator for an organization operating in today’s competitive environment. Our approach is anchored in the philosophy that Timely, Reliable, Accurate and Complete data, help in making better business decisions.
 
We provide our customers best in class solutions, streamline business processes using Lean methodology, and improve their end customer / user experience.
 
Our varied experience has help build enterprise-class products in the areas of Master Data Management, application testing and lifecycle management, project management, business intelligence and reporting. We have twenty years of experience in integrating Oracle EBS with other enterprise applications including PLM, MES, CRM, and enterprise financial planning and reporting.
 
In effect, we help organizations gain competitive advantage through our people, software, and our solutions with the right capability, for the right cost, and doing the right things.",1.0,1.0
1063,"Tap In Leadership Academy (Tap In) is a 501(c)(3) nonprofit academic enrichment organization serving youth in pre-k through high school. Tap In was founded in February 2010 by Executive Director, Sally K. Carter, as a Summer Enrichment Program housed at the McKinley Foundation, on the University of Illinois campus. A relationship-centered, intentional learning community, Tap In offers Afterschool Enrichment Programs (AEP), Summer Enrichment Programs (SEP), Family Enrichment Programs (FEP), a Kickback Lounge (KBL), and Tap In Prep Academy (TIPA) throughout Central Illinois and Chicago.

The mission of Tap In Leadership Academy is to enhance educational achievement, support leadership development, and raise cultural awareness so that all of our scholars are college and career ready upon high school graduation. The Tap In Way® affirms the existing knowledge, skills, and potential of student-scholars and creates equitable opportunities for intellectual, social, and emotional growth.

The vision of Tap In Leadership Academy is to educate, equip and empower scholars to become the next generation of leaders.  By serving scholars as young as 4 years old, Tap In Leadership Academy provides youth with early opportunities to grow and learn in a multi-age environment. Through interactive lessons, hands-on learning activities, and engaging field studies, Tap In scholars are exposed to a holistic and culturally diverse assortment of options. Peer mentoring and one-on-one tutoring give scholars the time and attention they need to achieve excellence in academics and learn healthy ways to navigate relationships. Our team consults directly with scholars’ teachers and parents in order to maximize scholar success. As our scholars blossom into leaders through these experiences, Tap In Leadership Academy strives to maintain and sustain communication as our scholars travel through multiple levels of learning.",2.0,2.0
694,"Accredible is the industry-leading digital credentialing platform. Securely issue, manage, track, and verify your credentials faster and more easily for a fraction of the cost.

Accredible issues digital certificates on behalf of MIT, Cambridge University, Google, Rosetta Stone, Kaplan University, The Digital Marketing Institute, AFCPE, AIPMM, and over two hundred other organizations across the world.

View Accredible's digital certificate features here: https://www.youtube.com/watch?v=NAQdP97w9jM

View an interactive example certificate at https://www.credential.net/10000005

Product Features:
Edit any of your certificates in real time, updating names, grades, branding or mistakes even after you issue them.

Revoke certificates, even after publishing. Set certificates to expire automatically after a time period.

View analytics on how recipients (and others) interact with their certificates. Which organizations are viewing your users' certificates?

Certificates can be added to LinkedIn profiles with one click, propagating your logo and course consistently on your users' profiles.

Find out more at www.accredible.com",1.0,1.0
174,"RSI’s corporate mission is to assist government agencies in meeting their business objectives of streamlining operations, improving customer service, maximizing collections and increasing tax compliance using enabling information technologies. 

RSI partners with clients on IT initiatives to improve customer service, increase operational efficiency and maximize compliance. With a dedicated team of full-time business and information systems consultants and a suite of software solutions, RSI is one of the largest organizations of its kind dedicated exclusively to Revenue, Labor and Child Support agencies.

RSI's goal is to provide unparalleled IT consulting services to our clients. Our employees operate in a dynamic, small company environment where creative thinking and entrepreneurship are highly valued. We recognize that the key to our continued success is hiring, developing and retaining highly-skilled and motivated employees who are committed to delivering uncompromising service. To attract and retain such talent, we offer competitive salaries, generous bonus programs, personalized career attention, and a full range of benefits. 

Please visit our website at www.RevenueSolutionsInc.com to learn more about our company, the services and products we provide, and the high levels of commitment we have towards both our customers and our employees.  Visit our Facebook page for photos of company events and other fun facts at https://www.facebook.com/revenuesolutionsinc.",1.0,1.0
767,"Edvance360 is a leading provider of eLearning software and services to academic-oriented institutions. Our Internet-based Learning Management System (LMS) empowers institutions by utilizing web-based software to increase learning, share resources, and create community.  The learning tools are comprehensive and easy-to-use and the embedded features uniquely support relational learning.",1.0,1.0
678,"The International Preschool Curriculum (IPC) was founded to strengthen and harmonize early childhood education standards. As a professional association that directly serves schools, learners, parents and governments, the IPC offers a unique set of products and services that promote active learning and effective practices in teaching.

Headquartered in the United States, the IPC’s objective and research based curriculum meets the standards
set by state departments and accreditation organizations. A  The IPC enjoys global recognition and works
closely with governments to amend curricula materials if required to ensure local standard compliance.
With the assistance of an advisory committee which consists of peers, consultants and academics, the
IPC ensures the rigor and high quality of all published materials.

The IPC also offers an extensive teacher training program which culminates in the IPC Teaching
Certificate.  As a 6 month course, the program reinforces essential teaching skills and establishes
a minimum standard for teaching practices in IPC schools. There are a growing number of continuing
education units (CEU) and professional development courses available upon completion of the IPC
teacher training program.

With over 300 prospective and fully licensed IPC locations around the world, the IPC has established
an authoritative position in the field of international early childhood education.",1.0,1.0
355,"Founded in 1997, ITCO Solutions is a global technology services and management company specializing in cloud computing, workforce solutions and managed services. ITCO is unmatched in our ability to deliver price/performance to companies worldwide. 

We are unique because we are vendor agnostic. Our offering is clear as we combine best in class consulting services, tailored technology solutions and more value to our customers on each engagement. This adds up to greater success and hard dollar savings for you. 

DELIVERING THE BEST PEOPLE, THE BEST EXPERTISE, AND THE BEST VALUE, FOR ALL YOUR PROJECTS",1.0,1.0
668,"With more than 20 years of experience in the corporate learning field, Teledec works as a Corporate Learning Strategist and content developer helping training directors and training groups align their work with their companies' business goals and strategies. An internationally sought after speaker and thought leader offering new corporate learning initiatives such as -  ‘How To Align Learning to Business Goals’ and  ‘How To Transform Training to Engagement’. Specializes in helping organizations to
• Build effective training programs that directly affect companies' business results 
• Plan and conduct leadership development programs that ensure that their companies have the leaders they need to build the business over time 
• Develop effective evaluation measures that go beyond the end-of-course ""eval sheets"" to a real measure of how learning results in improvements in individual, group, and corporate performance.Teledec works as a developer, consultant and coach to corporate learning groups, a/k/a the training organization, the corporate university, human resource development, or management/leadership/talent development. 

A Learning Leader, who strategically identifies and integrates learning approaches in accordance with best practices. With degrees in Engineering, Film and Theater, Teledec creates learning experience that is based on ‘storytelling’, implementing techniques of cinema and theater to explain complex processes and technologies.",1.0,1.0
371,"Ranal is a technology conglomerate providing solutions, services and resources around emerging and industry proven Information Technology areas to its worldwide customers. The Company is backed by decades of experience in technology areas such as CAD/CAM/CAE/PLM, Robotics and off-line programming, Manufacturing Process Planning and Management, Program/Project management, Digital Manufacturing and cPLM.

Ranal Group and Affiliates:

Ranal Inc.: The flagship company that spearheads growth and business strategy while being the gateway of customer interface and organization leadership.

Ranal Engineering Services: An ISO:9001 certified company that is focused on delivering end-to-end engineering services with a highly tested hybrid outsourcing model.

Ranal Software Solutions: Software solutions and products for process optimization and program management. 

Ranal Software Technologies: is a leading Enterprise Technology Solution Provider. 

all-time-zones: True to its name, and situated in Europe, All-time-zones facilitates sales, customer interaction/support and marketing that links Ranal’s North American strategies with its Asian infrastructure, thereby bringing to the customer in Europe the benefits of a true global offering.",1.0,1.0
350,"Saicon Consultants, Inc. has been providing IT Professional Services to Fortune 500 companies nationwide since 1998. Saicon provides individualized attention to each of its client’s needs and deploys the upmost quality through the right resources at the right time and for the right cost. Saicon, headquartered in the Midwest (Overland Park, KS), is a Minority/Women Based Enterprise and a SBA 8(a) certified IT consulting company that stands behind its qualified resources and services which is confirmed by its client satisfaction measurement process (SOAR). We have built a core business around: ERP, Client Server Development, and Administration. With our effective business model, we are able to consistently and successfully deliver to two of the most important criteria facing Executives today: High Quality and Low Cost.",1.0,1.0
49,"The Bentley Company is an Information Technology and Services company located in 4080 N Port Washington Rd, Milwaukee, Wisconsin, United States.",0.0,0.0
504,"Business Enabled by Technology

Horizon River has been serving clients for over 8 years with a nationwide reach and a global resource footprint.  We have a talented team that is committed to delivering premium technology solutions in creative, innovative ways.  Our clients range from small startups to some of the largest enterprises in the world.",1.0,1.0
737,"Resume Your Life (RYL) provides a suite of online career tools to schools and universities to make MBA programs more marketable and save over $100,000 a year on student services.

Today, many business colleges and universities are beginning to experience what smaller businesses have become accustomed to in this current competitive economic environment: a demand for twice the service at half the price. And this demand extends to the career services and job placement required of all higher educational institutions. Although the sagging economy has caused a surge in enrollment resulting from people going back to school to obtain more competitive job skills, these prospective students are different from those enrolling ten years ago. They're more astute, more economically savvy, and more willing to demand from their schools what is being demanded of them as employees - higher quality service at a lower cost. Resume Your Life's (RYL) unique approach to career services can ensure that your institution will be able to meet this demand.

This woman-owned B2B firm focuses on MBA students first – rather than on recruiters – by collaborating with universities, colleges and professional business schools.  With a blend of traditional practices and the latest technologies, the RYL staff capitalizes on their extensive background in education, career counseling, and management to enable business schools to offer full service career services with no overhead costs.  Schools will be able to provide their students and alumni unprecedented 24/7, 365-days-a-year access to web-based career tools tailored to the needs of contemporary MBA students in today's job market.",1.0,1.0
309,"InfoSpan Inc. is a US based International organization and part of a multi-national group of companies who are global leaders in providing technology based; customer oriented and targeted outsourcing solutions to diverse range of customers throughout the world. InfoSpan combines its technology platform with solid execution solutions and expertise to successfully deliver “Full Spectrum Outsourcing Services” (ITO, BPO, Software Development and KPO) to customers who lead their industries in Telecommunications, Financial services, Consumer products, Medical and Information technology.",1.0,1.0
76,"Statêra is a leading business and technology consulting firm. We have completed over 1,000 successful engagements by delivering the right solutions, delighting our clients, supporting our communities, and by providing interesting and productive careers for our people. Our methods focus on process over platform and talent over technology. We are experts in moving our clients to the cloud, and delivering CRM, web, mobile, collaboration, and custom solutions.",1.0,1.0
10,"Design Strategy is a solutions development company, specializing in the Information Technology (IT) field since 1980.

",0.0,1.0
531,"Vology is a high growth Strategic Solutions Provider with the capabilities to handle full Information Technology needs from Managed Services to Field Services and Product Solutions for our clients. Vology’s Managed Services offering provides customers full spectrum IT services and frees customers internal IT personnel allowing them to focus on developing and executing on the strategic IT initiatives. Vology employs more than 400 people, over 50% of which are technical resources, to support your business needs. Vology currently monitors and manages over 100,000 devices, at over 20,000 locations, 24/7/365 through its two geographically redundant U.S. based Service Operations Centers. In which, their network of more than 2,000 field engineers across the continental United States provide services.
 
Vology has consistently been recognized as an Inc. 5,000 honoree, which is a list of the fastest-growing privately held companies. In addition, Vology is consistently honored as one of the best places to work by the Tampa Bay Business Journal and the Tampa Bay Times. Our dedication and reputation are derivative of our company values, which center around exceptional customer service with a sense of urgency as well as a relentless commitment to quality, integrity, and continuous improvement.",2.0,1.0
545,"Mycroft is the innovation leader in delivering IT security, Identity, Access Management and regulatory compliance solutions leveraging over 20 years of unmatched professional services experience across all major vendor technologies.

Focused on the strategy, design, configuration, implementation and management of its solutions, Mycroft seamlessly integrates software and deep professional services expertise to provide fully managed cloud-based, hosted and on-premise deployments.

Mycroft is headquartered in New York City with service centers in St. Louis and Detroit.

For more information, 
visit www.mycroftinc.com",3.0,1.0
976,"The Executive MBA Program at Loyola Marymount University is a 20-month program designed for accomplished executives with a bachelor’s degree and at least six years of professional, managerial or entrepreneurial experience. Classes meet on Saturdays. The program’s objective is to produce principled leaders who have confidence in their ability to shape the direction of and achieve results within their organizations. 

Over the course of the program, the focus shifts from analysis and evaluation to strategic application and execution. Saturday-only classes allow students to minimize time away from work. EMBA students enhance their ability to make complex decisions, communicate effectively, and manage relationships as they participate in a cohort learning environment that emphasizes the importance of teamwork and encourages growth – in self-awareness, character, integrity and belief in their own talents.

LMU's unique OnBoarding program introduces enrolled students to the EMBA, help strengthen their foundational skills, so they will be ready to enter classes in the fall with confidence.",2.0,2.0
796,"ETEC, LLC is a leading provider of accelerated information technology training in the United States.

Founded in 1999, ETEC is a privately-held company headquartered in Houston, Texas. The company founders honed their specialized teaching techniques as trainers in the U.S. Naval Nuclear Power program, where they developed one of the world's most technically challenging programs for the Department of Defense.
 ETEC's IT training programs have helped organizations, government agencies, and Fortune 500 companies increase productivity and professional development for employees and customers. ETEC serves major metropolitan markets across the United States, but we are also willing to travel for clients around the world.

At ETEC, we take pride in the high quality of our instructors, our training facilities and our teaching methods. We feel our comprehensive training programs surpass all others and provides a significant return on investment. We also believe that accelerated (boot camp style) IT training and certification can be fun and interesting without sacrificing quality. You won't find higher quality anywhere else, making ETEC's program the best value in the accelerated training market.",1.0,1.0
736,"Ridgewood opened its doors in 1987 by owner/founders Peter Bramley Barbara Sparks. The company began as a traditional PR firm, but soon found the need to expand into the world of website development. It wasn't long before we began building more dynamically driven websites than paper products, and even custom built applications. All along the way we held onto our core values:

• Communication is everything
• Treat our customers and employees with respect and appreciation
• Work hard and have fun doing it

We're proud to partner with the Kempe Center and provide professional development opportunities to Colorado's child welfare professionals. Ridgewood provides technology solutions to the project with a custom built learning management system, web-based training modules, and technical assistance to users.

We're currently looking for new staff. If you want to be a part of a smart hard working company, contact Peter Bramley at pbramley@ridgewoodpr.com.",1.0,1.0
210,"APN provides IT services to over 100 direct clients ( all large and mid-sized US corporations) including: Dell, GE, Siemens, Cisco, Motorola, Qualcomm, Samsung, HP and Intel.

Incorporated in 1996, APN Software Services, Inc. has a network of three offices in the US and two offshore delivery offices in India.",1.0,1.0
1021,"Mission Statement:

To prepare students for success in an ever-changing world, our exceptional educators combine classic and innovative methods within a warm, nurturing environment.

Providing our students: 
   • an outstanding academic education
   • an awareness of their creative abilities
   • an understanding of their social responsibilities
   • a respect for and value of differences in people and points of view 
   • a sense of responsibility for their personal and physical well-being",2.0,2.0
972,Online courses for children of Bulgarian expats (1-5 grade) ; Online Bulgarian courses for Expats in Bulgaria,2.0,2.0
523,"Since 1996 VIA Networks has been providing customers with comprehensive hosting and managed services offerings, including expert platform support for Microsoft technologies. Today, VIA Networks supports a customer base of more than 36,000 business customers, in 80 countries worldwide, as an integrated part of the Claranet Group, Europe’s largest independently owned Managed Services Provider. Together we operate 12 regional offices, 16 datacenters and an extensive network across Europe and the U.S.",2.0,1.0
96,"Tier Technologies is the leading provider of electronic payment solutions. Led by its wholly owned subsidiary Official Payments Corp., Tier offers the largest selection of payment services and solutions.

We are dedicated to making payments fast, easy and secure for our clients and their customers by providing the best technology available, the highest level of security and exceptional customer service.

Tier works with the Internal Revenue Service, 27 state governments, the District of Columbia, more than 4,000 local government agencies, 350+ colleges and universities, and other public and private interests in all 50 states. Our customers can pay federal, state and local taxes, and other bills such as rent, utilities and college tuition. We accept credit cards, debit cards, electronic checks, Bill Me Later and cash via online, telephone and in person channels.

With over 17 million transactions processed totaling over $7.3 billion last year alone, Tier is the proven choice for electronic payment solutions since 1994.",1.0,1.0
83,"For 25 years, DLT Solutions has been dedicated to solving public sector IT challenges. Guided by our relentless focus on these challenges, we have grown to be one of the nation’s top providers of world-class IT solutions. 

Leveraging our strategic partnerships with premier IT companies, we develop best-fit solutions for our customers. Our sales, integration, and support experts have the certifications and experience in helping customers at any level of any agency.  We have both deep subject matter expertise and in-depth knowledge of government-mandated requirements and initiatives in areas such as a cloud computing, cyber security, and data consolidation. 

As the government and IT landscape evolves, DLT Solutions will continue to adapt and provide emerging technology solutions to our customers. 

For more information, contact us at 800-262-4358, sales@dlt.com or by visiting www.dlt.com.",1.0,1.0
785,"Quizlet is a leading education tech brand that builds learning tools to inspire and empower students and teachers. Our team is already supporting a user base of over 20 million active users / month. We're also among the top 50 U.S. websites and top education apps for iOS and Android - and it's only the beginning. We’re a fast-growing Series A startup, backed by Union Square Ventures, Costanoa Venture Capital, Altos Ventures, and Owl Ventures. 

With our massive reach and strong focus on delivery quality, innovative learning tools to users, we're in a position to make major, global impact on education. Read more at https://quizlet.com/mission. Come join us - we're hiring!",1.0,1.0
312,"Business Software Solutions has been providing strategic information technology solutions to clients of all sizes, including many of the world's premier insurance and financial services organizations, for over fifteen years. 
Our professional staff demonstrates both depth and breadth of management and consulting technical skills. These skills include the technologies that are shaping the future by creating the e-business applications that will advance companies to new levels of productivity, efficiency and competitive advantage.",1.0,1.0
567,"Designed by educators, for educators, Digication is a leading provider of easy-to-use e-Portfolio
solutions for teachers and students at all levels, from grades K through12 to higher education.
Students at more than 5,000 schools use Digication e-Portfolios as a workspace for learning and
to easily, flexibly and professionally showcase their work and achievements across schools and
districts. E-Portfolios create new opportunities for learning, reflection, communication,
assessment, and career advancement. Integrated tightly with the company’s award winning e-
Portfolio system is the Assessment Management System. The AMS is a web-based assessment
solution for tracking, comparing, and reporting on student progress and performance in grades K
through 12 and in schools of higher education. Digication is headquartered in Providence, Rhode
Island.",1.0,1.0
753,"Cicerone is a corporate oriented school. We have worked with big companies over Ukraine and we have gained unique experience of adaptation to demands and needs of these companies, so that we are able to develop a very specific approach in all cases. This is especially important in relation to speaking abilities enhancement while working in Speaking clubs with professional native speakers from Britain.
We have developed a special evaluation system, which is now applied in all our client companies to define current level of English among employees. We have created well-structured curriculum for all levels of English studying process. We have database of tests, which is filled with new materials on a regular basis and is used to compile testing sheets special for each company. We have formed our unique program and technique of speaking abilities development successfully applied in such companies as British-American Tobacco, Capitel and  Bankomzvyazok.
Client companies British-American Tobacco, Life, DeLaval, Capitel, Bankomzvyazok, Nestle, Beeline, Nestle.
We have our departments in Kiev, Odessa, Donetsk, Kharkov, Dnepropetrovsk, Lviv, Simferopol, Lutsk.",1.0,1.0
244,"ES&S takes great pride in our opportunity to support clients with their election administration needs. Every election reinforces an important tradition valued across our county -- a citizen’s right to vote. Our customers carry the responsibility to administer fair and accurate elections. They benefit from Election Systems & Software’s unwavering pledge to support their needs.

To fulfill our promise, we assign teams of passionate, knowledgeable and talented election professionals to support the management of your elections.  These individuals work diligently to help achieve a shared mission of maintaining voter confidence and enhancing the voting experience. We stand behind our work and guarantee our service; the quality is unrivaled. Providing our customers with trusted, quality and timely election services and products is our purpose, our promise and our passion.",1.0,1.0
991,"The Chemung Valley Montessori School in Big Flats, New York offers programs for children from age two through eighth grade.  Our philosophy and outstanding staff of Montessori-certified teachers have maintained a reputation for excellence in the Twin Tiers of New York and Pennsylvania for thirty-five years.",2.0,2.0
